id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
80;Yes;1627;9;14;18.4;121.6;;0.8;;PHILIPPINES: W. LUZON ISLAND: CAGAYAN: BANGUI;East
81;;1628;6;17;46;15.5;6;0.5;;BALKANS NW: SLOVENIA: KRISKO,BRESTANICA;South
82;;1628;10;6;40.6;114.2;;6.3;63;CHINA: HEBEI PROVINCE;South
83;;1628;;;13.2;123.7;;;;PHILIPPINES: LUZON: CAMALIG, ALBAY;South
84;Yes;1629;3;9;36;25;70;0.7;;GREECE: ISLANDS OF CYTHERA AND CRETE;East
85;Yes;1629;8;1;-4.6;129.9;;;;INDONESIA: BANDA SEA;West
86;;1629;;;53.6;12.3;;;;GERMANY: MECKLENBURG;East
87;;1630;1;16;32.6;104.1;;6.3;;CHINA: SICHUAN PROVINCE;South
88;;1630;7;4;38.7;20.6;;;;GREECE: LEVKAS, CEPHALONIA, ITHAKI;North
89;;1630;11;27;-12.2;-77.5;30;8.1;;PERU: LIMA;East
90;Yes;1630;;;-4.6;129.9;;;;INDONESIA: BANDA SEA;West
91;;1631;2;10;11.2;41.7;;5.7;;ETHIOPIA;East
92;;1631;7;21;35.3;104.3;;0.6;;CHINA: GANSU PROVINCE: LINTAO;East
93;;1631;7;;35.5;107.8;;0.5;;CHINA: NINGXIA;North
94;;1631;8;14;29.3;111.7;;6.5;;CHINA: HUNAN PROVINCE;South
95;Yes;1631;12;16;40.821;14.426;;;;ITALY: NAPLES (NAPOLI);East
96;;1632;;;42.4;18.4;;;;BALKANS NW: CROATIA;West
97;Yes;1633;3;1;35.2;139.2;;7.1;150;JAPAN: ODAWARA;East
98;Yes;1633;5;14;-41.8;-73.8;;;;CHILE: FORT CARELMAPU;North
99;Yes;1633;11;5;37.5;21;;6.9;;GREECE: ZAKINTHOS (ZANTE);West
100;;1633;;;38;46.2;;;;IRAN: TABRIZ;North
101;;1634;1;;34.1;105.3;;0.6;30;CHINA: GANSU PROVINCE: XIHE;North
102;Yes;1634;3;;30.7;115.1;;5.5;;CHINA: HUBEI PROVINCE;North
103;;1634;12;;35.1;107.6;;5.5;;CHINA: GANSU PROVINCE: LINGTAI;North
104;Yes;1636;9;30;38.1;20.3;;7.2;520;GREECE: CEPHALONIA;North
105;;1636;10;1;38.1;20.3;;;;GREECE: ZAKINTHOS (ZANTE);East
106;;1636;12;18;5.1;-2.2;;5.7;;GHANA: FORT DUMA, AWOIN;South
107;;1636;12;21;7.6;123.7;;;;PHILIPPINES: MINDANAO: ILLANA BAY;North
108;Yes;1638;3;27;39.033;16.283;;0.7;9581;ITALY: COSENZA,MARTIRANO, NICASTRO, CALABRIA;East
109;;1638;6;9;39.25;16.75;;;52;ITALY: COTRONE;South
110;;1639;5;4;36.2;50;;;12000;IRAN: QAZVIN;South
111;;1639;7;28;42.5;18.1;;;;BALKANS NW: CROATIA;West
112;;1639;10;8;42.6;13.3;;;;ITALY: AMATRICE;South
113;;1639;12;;-30;-71.4;;;;CHILE;North
114;;1640;2;27;38.2;46.3;15;5.1;;IRAN: TABRIZ;South
115;;1640;2;;-1.7;-78.6;;;5000;ECUADOR;East
116;Yes;1640;4;4;50.8;5.7;;;;GERMANY: ROER VALLEY;North
117;;1640;6;19;38.57;16.53;;;300;ITALY: BADOLATO;West
118;Yes;1640;7;31;42.07;140.68;;6.5;;JAPAN: UCHIURA BAY;East
119;Yes;1640;9;16;23;117;;;;CHINA: GUANGDONG PROVINCE;South
120;;1640;;;45.9;15.5;;;;BALKANS NW: SLOVENIA;South
121;;1641;1;4;18.2;121.7;;;;PHILIPPINES: LUZON: APARRI;North
122;;1641;1;10;-1.5;-78.5;;7.6;;ECUADOR;West
123;;1641;2;5;38;46.1;;;30000;IRAN: TABRIZ, KURDISTAN;South
124;;1641;6;11;10.9;-66.7;;;;VENEZUELA: CARACAS,LA GUAIRA,CUA;East
125;;1641;11;26;23.5;116.5;;5.8;;CHINA: GUANGDONG PROVINCE;South
126;;1641;;;42.3;22.7;;;;BULGARIA;South
127;;1642;6;30;35.1;111.1;;0.6;;CHINA: SHANXI PROVINCE;North
128;Yes;1642;9;4;35.2;140.6;;6.7;;BOSO, JAPAN;South
129;Yes;1643;7;25;35.5;129.5;;6.5;;SEA OF JAPAN;North
130;;1644;1;16;;;;0.7;;COLOMBIA: PAMPLOMA,HERRAN;South
131;;1644;2;15;43;8;;;150;FRANCE: CORSICA,BELVEDERE,ROQUEBILLIERE;West
132;;1644;3;16;;;;;;VENEZUELA: SAN CRISTOBAL;West
133;Yes;1644;10;18;39.4;140.1;;6.9;;JAPAN: NW. HONSHU ISLAND;East
134;;1645;2;19;-1.7;-78.6;;7.5;;ECUADOR;North
135;Yes;1645;11;30;14.4;121;;0.8;600;PHILIPPINES: LUZON: S BATANGAS TO N CAGAYAN;North
136;;1645;12;5;14.4;121;;;;PHILIPPINES: LUZON: S BATANGAS TO N CAGAYAN;South
137;;1646;2;17;38.3;43.2;;;;TURKEY: VAN;North
138;Yes;1646;4;5;43.55;10.317;;5.2;;ITALY: LIGURIAN COAST;West
139;Yes;1646;4;5;41.04;28.98;;;;TURKEY: ISTANBUL (CONSTANTINOPLE);East
140;;1646;5;31;41.9;15.8;;;;ITALY: GARGANO;North
141;Yes;1646;6;9;37.7;141.7;;7.6;;JAPAN: SANRIKU: SENDAI;West
142;Yes;1647;5;7;-15.5;-75;;;;PERU;South
143;;1647;5;14;-33.4;-70.6;;8.5;1000;CHILE: SANTIAGO;South
144;;1647;6;16;36;140;;6.4;;JAPAN;South
145;;1648;3;31;38.3;43.2;;;2000;TURKEY: VAN;North
146;;1648;;;45;14.9;;;;BALKANS NW: CROATIA;West
147;;1648;;;12.5;-86.8;;;;NICARAGUA: LEON;North
148;;1648;;;15;121;;;;PHILIPPINES: LUZON: S;East
149;Yes;1649;1;;38.183;15.55;;0.5;;ITALY: MESSINA;East
150;Yes;1649;7;29;35.5;140;;;200;JAPAN: TOKYO;West
151;Yes;1649;12;9;35.5;126;;6.5;;YELLOW SEA;East
152;;1650;1;4;38;46.2;;;;IRAN: TABRIZ;East
153;;1650;3;31;;;;8.1;;PERU: CUZCO,COLLAO,LIMA;South
154;;1650;3;;36.4;25.4;;;;GREECE: THERA ISLAND (SANTORINI);East
155;Yes;1651;;;;;;;;PERU-CHILE;South
156;;1652;6;8;42.1;47.7;10;5.8;;RUSSIA: CAUCASUS;South
157;;1652;7;13;25.4;100.5;;6.8;3000;CHINA: YUNNAN PROVINCE: MIDU;South
158;;1653;2;23;38.2;28.2;;7.5;2500;TURKEY: IZMIR,ALASEHIR,DENIZLI,AYDIN;North
159;Yes;1653;7;;13.1;121.6;;;;PHILIPPINES: MINDORO ISLAND;West
160;;1654;7;21;34.3;105.5;;0.8;10400;CHINA: GANSU PROVINCE: TIANSHUI;East
161;;1654;7;23;41.4;13.6;;;600;ITALY: ALVITO,BELLOMONTE,PONTECORVO,SORA;South
162;;1654;10;20;40.1;3.6;;;;SPAIN: MENORCA (MINORCA);North
163;;1654;;;;;;;11000;PERU: LIMA;East
164;;1655;1;;35;25;;;;GREECE: CRETE;East
165;Yes;1655;11;13;-12.3;-77.6;30;7.7;;PERU: LIMA, CALLAO;South
166;;1656;;;34.4;35.85;;;;LEBANON: TARABULUS (TRIPPOLES);West
167;;1656;;;-12.5;-77;;;11000;PERU;South
168;;1657;2;15;47.1;0.6;;;;FRANCE: SAINTE MAURE;North
169;Yes;1657;3;15;-36.83;-73.03;;0.8;;CHILE: CONCEPCION, CHILLAN;North
170;;1657;4;21;31.5;103.6;;0.6;;CHINA: SICHUAN PROVINCE;North
171;Yes;1657;7;9;-33.5;-70.7;;;;CHILE: SANTIAGO;North
172;Yes;1657;12;;-3;128;;;;INDONESIA: BANDA SEA;South
173;;1657;;;-12.4;-76.8;;;11000;PERU: LIMA,CALLAO;North
174;;1658;2;3;39.4;115.7;;0.6;;CHINA: HEBEI PROVINCE;West
175;;1658;2;14;-8.1;-79;;;;PERU: TRUJILLO;South
176;;1658;8;1;38;21;;;;GREECE;East
177;;1658;8;20;14.4;120.6;;;;PHILIPPINES: S LUZON: MANILA, SANTA CRUZ;West
178;;1659;4;21;37.5;140;;;39;JAPAN: AIDU;South
179;;1659;9;30;;;;;;EL SALVADOR: SAN SALVADOR;West
180;;1659;11;5;38.7;16.3;;;2035;ITALY: PANAIJA, SORIANO, POLIA;East
181;Yes;1659;11;9;-6.92;129.125;;;;INDONESIA: BANDA SEA;West
182;;1660;3;;38.4;22.4;;;2;GREECE: GALAXIDI;East
183;;1660;6;21;43.1;0.2;;;;FRANCE: BAGNERES DE BIGORRE,LOURDES,BORDEAUX;East
184;;1660;10;27;-0.2;-78.5;;7.7;;ECUADOR;East
185;;1660;;;44.63;10.93;;;;ITALY: MODENA;South
186;;1660;;;35.3;-2.97;;;;MOROCCO: MELILLA;North
187;Yes;1661;1;8;23;120.2;;0.6;;TAIWAN: TAINAN;North
188;Yes;1661;3;22;44.1;12;;;;ITALY: FIRENZE (FLORENCE), PREDAPPIO;East
189;;1662;1;1;-0.2;-78.4;;;;ECUADOR;East
190;;1662;6;7;17;-96.3;;;;MEXICO: OAXACA;West
191;;1662;6;16;35.5;136;;;600;JAPAN: YAMASIRO;West
192;Yes;1662;10;30;31.7;132;;7.6;;JAPAN: HIUGANADA;North
193;;1662;;;35;25;;;;GREECE: CRETE;South
194;;1663;2;5;47.6;-70.1;;;;CANADA: ST LAWRENCE VALLEY;West
195;;1663;;;12.4;-86.6;;;;NICARAGUA: MOMOTOMBA, GRANADA;East
196;;1664;5;12;-14.1;-75.8;15;7.3;400;PERU: ICA, PISCO;East
197;;1664;8;12;35.5;127.1;;6.3;50;SOUTH KOREA: CHONJU,CHINAN;North
198;;1664;;;38.7;112.7;;5.5;;CHINA: SHANXI PROVINCE;West
199;;1664;;;38.1;46.3;;;1500;IRAN: TABRIZ;South
200;;1665;1;;35;25;;;;GREECE: CRETE;West
201;;1665;6;15;35.4;52;;;;IRAN: DAMAVAND;South
202;;1665;6;19;14.6;121;;;19;PHILIPPINES: MANILA;West
203;;1666;2;1;37;138;;;1500;JAPAN: TAKATA;South
204;Yes;1666;5;31;35;136.8;;6.4;;TOKAIDO, JAPAN;West
205;;1666;11;;;;;;;IRAQ: AL-MAWSIL;West
206;;1667;2;3;37.2;50;;;;IRAN: LAHIJAN;West
207;Yes;1667;4;6;42.6;18.1;;7.2;5000;BALKANS NW: CROATIA: DUBROVNIK: RAGUSA;East
208;;1667;7;30;18.8;-98;;;;MEXICO: PUEBLA;North
209;;1667;11;18;37.2;57.5;;;12000;IRAN: SHIRVAN, SHAMKHA;East
210;Yes;1667;11;30;38.4;27.1;;6.6;;TURKEY: IZMIR;South
211;;1667;11;;40.6;48.6;12;6.9;80000;AZERBAIJAN: SHEMAKHA (SAMAXI);East
212;;1667;;;18.3;-77.5;;;;JAMAICA;North
213;Yes;1667;;;25;125.5;;6.7;;MIYAKOJIMA, JAPAN;East
214;;1668;1;4;38;46.2;;;;IRAN: TABRIZ;West
215;Yes;1668;4;13;42.35;-71.05;;;;BOSTON AND SALEM, MASSACHUSETTS;East
216;;1668;5;2;;;10;;;PAKISTAN: INDUS DELTA;East
217;Yes;1668;7;10;38.4;27.1;;6.6;17500;TURKEY;East
218;Yes;1668;7;25;35.3;118.6;;8.5;42578;CHINA: SHANDONG PROVINCE;South
219;Yes;1668;7;31;38;126;;6.4;;NORTH KOREA: YELLOW SEA;East
220;;1669;1;4;40.6;48.6;5;5.7;7000;AZERBAIJAN: SHEMAKHA (SEMACHA);East
221;;1669;3;11;37.6;15;;;;ITALY: NICOLOSI;South
222;;1669;6;4;;;;;;INDIA: FORT MADRAN;West
223;;1670;7;17;47.2;11.4;;;;AUSTRIA: INNSBRUCK, SCHWAZ;East
224;Yes;1670;8;19;33;122.5;;6.8;;CHINA: SHANGHAI;North
225;;1670;10;30;35.9;126.5;;6.3;;SOUTH KOREA: KWANGJU,SUNCHANG,UNKYO,KOSAN;East
226;Yes;1670;12;17;35.5;141;;6.4;;BOSO, JAPAN;West
227;;1670;;;27.5;53.6;;;;IRAN: LAR-EVAZ;West
228;;1671;1;1;40.6;48.6;;;;AZERBAIJAN: SHEMAKHA (SEMACHA);East
229;Yes;1671;2;27;33.4;134.7;;6.9;;JAPAN: NANKAIDO;East
230;Yes;1672;4;14;43.933;12.583;;5.6;1500;ITALY: RIMINI;West
231;Yes;1672;4;;40;26;;;;E. SPORADES ISLANDS, AEGEAN ISLANDS;East
232;Yes;1672;;;36.5;25.5;;;;GREECE: DODECANESE ISLANDS;East
233;;1673;5;9;18.3;-69.5;;;5;DOMINICAN REPUBLIC: SANTO DOMINGO;West
234;Yes;1673;5;20;1.375;127.52;;;;INDONESIA: N. MOLUCCAS ISLANDS;East
235;Yes;1673;7;12;-3;128;;;;INDONESIA: BANDA SEA;South
236;;1673;7;30;36.3;59.3;;6.6;5600;IRAN: MASHHAD, NEYSHABUR (NISHAPUR);West
237;Yes;1673;8;12;1.375;127.52;;;;INDONESIA: N. MOLUCCAS ISLANDS;South
238;;1674;1;1;39.5;20;;;;GREECE-ALBANIA;East
239;Yes;1674;2;17;-3.75;127.75;40;6.8;86;INDONESIA: AMBON ISLAND, SERAM ISLAND;South
240;Yes;1674;5;6;-3.7;128.2;;;;INDONESIA: BANDA SEA;West
241;;1674;8;29;-1.7;-79;;7.7;;ECUADOR: CHIMBORAZO,BOLIVAR,QUITO;South
242;Yes;1675;3;;13;121;;;;PHILIPPINES: MINDORO ISLAND, LUZON ISLAND;West
243;;1676;7;12;34.5;132;;;7;JAPAN: TUWANO;East
244;Yes;1677;4;13;40;144;;8.1;;JAPAN: SANRIKU;East
245;;1677;9;;33.4;104.8;;5.5;;CHINA: GANSU PROVINCE;West
246;Yes;1677;11;4;35;141.5;;7.4;;JAPAN: OFF SE. BOSO PENINSULA;West
247;Yes;1677;12;7;14.5;120.5;;;2;PHILIPPINES: LUZON: CENTRAL,S;East
248;;1677;;;17.6;-76.5;;;;JAMAICA: PORT ROYAL;West
249;;1678;2;3;37.1;50;;;;IRAN: LAHIJAN;South
250;;1678;2;11;20;-75.5;;;;CUBA: SANTIAGO DE CUBA;South
251;;1678;2;23;34.2;58.4;;;;IRAN: GONABAD;East
252;Yes;1678;6;18;-9;-79;40;8.4;;PERU: LIMA,SALINAS-HUAURA,LIMA,CALLAO,CHANCAY;East
253;;1678;10;2;38.6;142;;7.4;1;JAPAN: SANRIKU,RIKUCHU;East
254;;1678;;;34.1;74.8;;;;INDIA: KASHMIR: SRINAGAR;South
255;;1679;6;4;;;15;5.9;7600;TURKEY;North
256;;1679;9;2;40;117;;0.8;13162;CHINA: HEBEI PROVINCE;West
257;;1679;9;21;13.3;43.3;;;;YEMEN: AL MUKHA;East
258;;1679;12;16;31.4;119.5;;0.5;;CHINA: JIANGSU PROVINCE;North
259;;1680;9;9;25;101.5;;6.8;2700;CHINA: YUNNAN PROVINCE;West
260;Yes;1680;9;28;34.6;137.6;;;;JAPAN: TOTOMI-NADA;East
261;;1680;10;9;36.5;-4.4;;;70;SPAIN: MALAGA;North
262;Yes;1681;3;10;-18.5;-70.35;;7.5;;CHILE;North
263;Yes;1681;6;12;37.5;129.5;;;;SOUTH KOREA: YANGYANG, SANCHOK;East
264;Yes;1681;12;11;;;;;;INDONESIA: SUMATRA: MENTAWAI ISLANDS;East
265;;1682;5;12;48;6.5;;;;FRANCE: REMIREMONT,FOUGEROLLES,FAUCOGNEY;East
266;;1682;;;20;-75.5;;;;CUBA: SANTIAGO DE CUBA;North
267;;1682;;;17;-96.3;;;;MEXICO: OAXACA,MEXICO CITY;East
268;;1683;11;22;38.7;112.7;;0.7;1001;CHINA: SHANXI PROVINCE;West
