id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
877;;1831;9;28;32.8;116.8;;;;CHINA: ANHUI PROVINCE;North
878;;1831;10;9;-18.5;-71;;6.3;33;CHILE: PERU: TACNA,ARICA,AREQUIPA;South
879;;1831;12;3;12.4;-61.5;;7.8;;TRINIDAD & ST. CHRISTOPHER;South
880;Yes;1831;;;-38.7;178;;0.7;;NEW ZEALAND: NORTH ISLAND: POVERTY BAY;West
881;Yes;1832;1;13;42.9;12.6;;;;ITALY: FOLIGNO;West
882;;1832;1;22;36.5;71;;;22;AFGHANISTAN;North
883;;1832;3;8;39;17;;;;ITALY: CUTRO;East
884;;1833;1;19;40.4;19.9;;;;ALBANIA: VLORE, SAZAN, KANINA, NARTA;North
885;Yes;1833;3;10;16.8;-99.9;;6.4;;S. MEXICO;South
886;Yes;1833;4;25;-28.5;-71.3;;;;CHILE;North
887;;1833;5;30;29.4;80.1;;;;INDIA: LOHUGHAR;North
888;;1833;8;26;;;;7.5;;NEPAL: KATHMANDU;West
889;;1833;9;6;25.2;103;;0.8;;CHINA: YUNNAN PROVINCE;North
890;Yes;1833;9;18;;;;0.8;6700;PERU-CHILE: PERU: TACNA;North
891;Yes;1833;11;24;-2.5;100.5;;7.7;700;INDONESIA: SUMATRA: BENGKULU;South
892;Yes;1833;12;7;38.9;139.15;75;8.3;;JAPAN: HONSHU: NW;West
893;Yes;1834;1;20;1.2;-77;;7.4;35;COLOMBIA: PUTUMAYO,PASTO, POPAYAN, SANTA MARTA;North
894;;1834;2;9;43.3;141.4;5;0.7;80;W. HOKKAIDO ISLAND, JAPAN;North
895;Yes;1834;2;14;44.3;9.4;;6.4;;ITALY: BORGO VAL DI TARO;South
896;;1834;3;1;1.4;-77.1;;;60;COLOMBIA: PASTO;East
897;;1834;3;14;16.8;-99.9;;;;MEXICO: ACAPULCO;North
898;Yes;1834;4;11;24.9;103;;0.7;;CHINA: YUNNAN PROVINCE;South
899;;1834;5;22;11;-74.2;;0.5;;COLOMBIA: SANTA MARTA,CARTAGENA;South
900;;1834;5;23;;;;;;JORDAN: AL-KARAK;North
901;;1834;5;;14;143.3;;6.3;;GUAM: AGANA;West
902;;1834;8;12;8.8;-70.9;;;;VENEZUELA: MERIDA;North
903;;1834;10;10;-6.7;107;;;;INDONESIA: JAVA: BOGOR, CINAJUR;South
904;;1834;10;15;47.6;22.3;;;;HUNGARY: PISHKOL'T, ERENDREYD, DENGELEG;South
905;;1834;;;33;97;32;6.8;;CHINA: QINGHAI PROVINCE;East
906;;1834;;;28.6;87.1;;5.5;88;CHINA: TIBET (XIZANG PROVINCE);East
907;;1835;2;20;-36.83;-73.03;;0.6;;CHILE: CONCEPCION;West
908;Yes;1835;4;18;46.7;7.8;;8.2;50;SWITZERLAND;East
909;;1835;7;20;37.9;141.9;;;;JAPAN: SANRIKU;South
910;Yes;1835;8;23;38.5;35.5;;7.6;;TURKEY;West
911;;1835;10;12;39.3;16.3;;;300;ITALY: CASTIGLIONE,COSENZA,CRATI;North
912;;1835;11;1;-3.7;128.2;;;100;INDONESIA: MALUKU: AMBON;East
913;;1836;3;5;-8.3;118.7;;;;FLORES SEA;North
914;Yes;1836;4;24;39.6;16.6;;;;ITALY: ROSSANO,CROSIA,CRACO,BASILICATA;South
915;;1836;6;10;38;-122;;;589;CALIFORNIA;West
916;;1836;7;3;-22.6;-70.3;;;;CHILE: COBIJA;North
917;Yes;1836;11;20;40.1;15.8;;7.5;;ITALY: BASILICATA;North
918;;1836;11;28;-8.3;118.7;;;21;FLORES SEA;South
919;Yes;1837;1;1;;;;7.5;;ISRAEL: ZEFAT (SAFED);North
920;Yes;1837;4;11;44.2;10.5;;6.4;5000;ITALY;North
921;;1837;8;2;18.2;-64.5;;;5;VIRGIN ISLANDS;East
922;Yes;1837;8;9;16.86;-99.88;;;;MEXICO: ACAPULCO;North
923;Yes;1837;9;10;10.3;-66.6;;6.5;;VENEZUELA: SANTA TERESA DEL TUY,SANTA LUCIA;South
924;;1837;9;10;34.6;103.7;;;;CHINA: GANSU PROVINCE;North
925;;1837;9;29;5.5;96;;0.6;37;INDONESIA: BANDA ATJEH;West
926;Yes;1837;10;18;19.45;-99.15;100;7.3;;MEXICO: MEXICO CITY, ACAPULCO;North
927;Yes;1837;11;7;-42.5;-74;;0.7;;CHILE: VALDIVIA;West
928;Yes;1837;11;22;20;-105;;8.5;;MEXICO: GUADALAJARA;South
929;;1837;11;28;-8.5;118.5;;7.5;;INDONESIA: SUMBAWA ISLAND: BIMA;East
930;;1838;1;23;45.7;26.6;;;;ROMANIA: CARPATHIAN FOLD,VRANCEA;North
931;;1838;5;7;-36.7;-73.1;150;6.9;;CHILE: CENTRAL;North
932;Yes;1838;6;;37.6;-122.4;;;;CALIFORNIA: SAN FRANCISCO,SAN JOSE,SANTA CLARA;West
933;;1838;;;32;34.5;;0.7;;ISRAEL: TEL AVIV-YAFO (JAFFA),PALESTINE;West
934;;1838;;;21.8;96;;;3000;MYANMAR (BURMA): AVA (INNWA);North
935;;1839;1;11;;;;;;MARTINIQUE: FORT-DE-FRANCE, ST PIERRE;South
936;;1839;2;7;26.1;99.9;33;7.8;390;CHINA: YUNNAN PROVINCE;North
937;;1839;2;23;26.1;99.9;;0.6;100;CHINA: YUNNAN PROVINCE;South
938;;1839;3;22;13.7;-89.2;;0.6;129;EL SALVADOR: SAN SALVADOR;West
939;;1839;3;23;21.9;96;;;;MYANMAR (BURMA): AVA, AMARAPURA;South
940;;1839;3;;;;;;400;HAWAII;North
941;Yes;1839;4;12;10.5;-64.2;;;;VENEZUELA: CUMANA;South
942;;1839;5;1;42.5;145;;;;SE. HOKKAIDO ISLAND, JAPAN;West
943;Yes;1839;6;27;23.4;120.4;;7.3;;TAIWAN: JIAYI;South
944;;1839;8;16;45.9;6.1;;6.5;117;SWITZERLAND;North
945;;1840;1;4;-8;110.5;;;;INDONESIA: JAVA: PURWOREJO;North
946;Yes;1840;1;28;-12.3;-77.3;150;0.7;;PERU: LIMA;West
947;Yes;1840;2;14;0.8;127.325;40;;;INDONESIA: MALUKU: TERNATE ISLAND;West
948;Yes;1840;3;22;12.9;123.9;;;;PHILIPPINES: SORSOGON,MASBATE IS,CASIGURAN,ALBAY;North
949;Yes;1840;7;2;;;;6.5;17;TURKEY: MT ARARAT, AGURI, ARALIKH;North
950;;1840;8;27;46.2;14.7;;6.7;1049;BALKANS NW: SLOVENIA: LJUBLJANA;South
951;;1840;10;30;38;21;8;4.9;;GREECE: ZAKINTHOS (ZANTE);East
952;;1840;11;11;39.8;-75.2;;;12;PENNSYLVANIA: PHILADELPHIA;South
953;Yes;1841;5;17;52;158;;5.2;;RUSSIA: OFF KAMCHATKA;West
954;Yes;1841;6;15;38.4;-25.3;30;8.4;;AZORES: PRAIA DA VITORIA;East
955;;1841;9;2;;;;;;COSTA RICA: CARTAGO;North
956;;1841;11;26;-5;130;;;;INDONESIA: N. MOLUCCAS ISLANDS;West
957;Yes;1841;12;16;-4;127.5;;;;INDONESIA: BANDA SEA;East
958;Yes;1842;1;2;40.5;50;;0.6;;AZERBAIJAN: APSCHERON PENINSULA;North
959;;1842;2;19;34.4;70.5;3;4.3;;AFGHANISTAN: JALALABAD;North
960;;1842;4;18;36.5;22.3;;;500;GREECE: MAINA (LACONIA);South
961;;1842;5;7;19.75;-72.2;100;;;HAITI: CAP-HAITIEN;West
962;Yes;1842;6;11;43.6;93;;8.1;5000;CHINA: XINJIANG PROVINCE;West
963;;1842;11;1;;;;0.7;;CANADA: MONTREAL;West
964;Yes;1842;11;11;24;89.25;;;;BANGLADESH:;North
965;Yes;1842;12;8;9.6;39.8;;0.6;;ETHIOPIA: ANKOBER;South
966;;1843;1;5;1.5;98;;;;SW. SUMATRA;South
967;Yes;1843;2;1;38.3;44.6;70;7.3;;IRAN: AZARBAIJAN: KHVOY (KHOY);North
968;;1843;2;7;-7.2;114;;;;INDONESIA: JAVA: GENTENG ISLAND;South
969;Yes;1843;2;8;16.5;-62.2;;0.6;;GUADELOUPE: POINTE-A-PITRE;East
970;Yes;1843;4;1;19;77;33;8.3;5000;INDIA: DECCAN;West
971;;1843;4;18;38.6;44.9;;;;IRAN: KHVOY (KHOY);East
972;;1843;4;25;42;146;;;1000;JAPAN: HOKKAIDO: YEZO, KUSHIRO, NEMURO;South
973;Yes;1843;7;8;-39.9;175;;8.4;;NEW ZEALAND: WANGANUI;South
974;Yes;1843;10;18;36.3;27.5;33;7.5;;GREECE: CHALKI (DODECANESE);North
975;Yes;1843;12;17;-29.9;-71.3;;;;CHILE;North
976;;1844;4;16;;;;;;PUERTO RICO: SAN JUAN;North
977;;1844;5;12;33.6;51.4;;;;IRAN: KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA;South
978;;1844;5;12;40.98;34.8;;6.4;1500;TURKEY: OSMANCIK, ANKARA;East
979;;1844;5;13;37.4;48;;;200;IRAN: MIYANEH, GARMRUD, ESFAHAN;East
980;;1844;5;;11.2;-84.8;;6.9;;NICARAGUA: RIVAS, GREYTOWN;West
981;Yes;1844;8;30;13.1;-61.1;;7.4;;SAINT VINCENT: KINGSTOWN;North
982;;1844;8;;11;-84;;;;NICARAGUA: SAN JUAN DEL NORTE(GREYTOWN);North
983;;1844;10;19;-25;-66;;;;ARGENTINA: SALTA, JUJUY, TUCUMAN;North
984;;1845;2;8;1.48;124.85;;;;INDONESIA: N SULAWESI: MENADO, TIKALA, TOMOHON;East
985;Yes;1845;2;12;12.3;39;;0.7;118;ETHIOPIA;West
986;;1845;2;19;11.1;-74.5;;;;COLOMBIA: MAGDALENA RIVER;East
987;;1845;2;;24.1;120.5;;;;TAIWAN: ZHANGHUA;East
988;;1845;3;9;17;-96.3;;0.6;380;MEXICO: OAXACA;South
989;;1845;4;7;17;-100.6;;;;MEXICO: MEXICO CITY;North
990;Yes;1845;6;4;-18.5;-70.4;;0.8;;CHILE;South
991;;1845;6;19;23.583;68.367;;;;INDIA: RANN OF KUTCH;East
992;Yes;1845;7;5;-39.93;175.05;;6.3;;N. NEW ZEALAND;South
993;Yes;1845;10;11;39.1;26.2;;;;TURKEY;East
994;;1845;12;21;46.1;14.5;;;;BALKANS NW: SLOVENIA: LJUBLJANA;East
995;;1846;1;25;2;126.5;7;4.9;;INDONESIA: N. MOLUCCAS ISLANDS;North
996;Yes;1846;3;13;-27.35;-70.35;;7.3;;CHILE: COIAPO;West
997;;1846;3;;39.5;142.5;;;;SANRIKU, JAPAN;South
998;Yes;1846;6;10;37;22;;6.9;;GREECE: MESSINI-MICROMANI (MESSINIA);North
999;;1846;6;28;-14;-76.8;;;30;PERU;South
1000;;1846;8;7;37;15.3;50;7.9;;ITALY: SIRACUSA (SYRACUSE);South
1001;;1846;8;14;43.4;10.6;;;;ITALY: ORCIANO, LUCIANA;North
1002;Yes;1846;12;10;26;93;5;6.1;56;INDIA;West
1003;;1847;3;8;-32.45;-71.27;;7.5;;CHILE;North
1004;;1847;5;8;37;138;;;;JAPAN: ZENKOJI, NAGANO;East
1005;;1847;5;23;-12.1;-77.1;;7.4;12000;PERU: CALLAO;South
1006;Yes;1847;6;21;46;152;;;;RUSSIA: KURIL ISLANDS;North
1007;;1847;8;7;29.5;30.5;40;7.5;;EGYPT: AL-FAYYUM, CAIRO;East
1008;;1847;10;2;17;-96.3;;;185;MEXICO: OAXACA;North
1009;;1847;10;8;-31.61;-71.18;;;;CHILE: COQUIMBO;East
1010;;1847;10;19;-31.61;-71.18;;7.3;;CHILE: COQUIMBO;North
1011;Yes;1847;10;31;7.333;93.667;;;;INDIA: LITTLE NICOBAR ISLAND;East
1012;Yes;1847;11;16;-6.67;108.55;;;;INDONESIA: JAVA: CHERIBON;South
1013;;1847;12;19;38.7;-9.2;;;;PORTUGAL: LISBON;North
1014;;1848;1;11;37.2;15.2;;;;ITALY: SICILY;North
1015;;1848;2;;35.3;-2.97;;;;MOROCCO: MELILLA;East
1016;;1848;5;31;17;-96.3;;;;MEXICO: OAXACA,GUERRERO;South
1017;;1848;7;12;-17.9;-149.9;;;;FRENCH POLYNESIA: TAHITI;East
1018;Yes;1848;10;15;-41.3;174.5;;6.5;;NEW ZEALAND: N.;West
1019;Yes;1848;10;17;;;;7.9;;NEW ZEALAND: COOK STRAIT;East
1020;Yes;1848;10;18;-41.67;174;;0.6;;NEW ZEALAND: AWATERE RIVER, MARLBOROUGH;West
1021;Yes;1848;12;3;24.1;120.5;;0.6;3;TAIWAN: ZHANGHUA;North
1022;;1849;1;25;14;143.3;;6.8;1001;GUAM;North
1023;Yes;1849;2;26;7.3;-72.3;;7.5;;VENEZUELA: TACHIRA (LOBATERA);East
1024;;1849;5;3;10.7;-71.6;13;0.6;40;VENEZUELA: MARACAIBO;South
1025;;1849;9;28;55;166;;;;RUSSIA: KAMCHATKA;West
1026;Yes;1849;10;28;55;166;;;;RUSSIA: KOMANDORSKY ISLAND;West
1027;Yes;1849;11;17;-29.95;-71.37;20;7.5;;CHILE: COQUIMBO;North
1028;Yes;1850;4;29;42.8;17.7;;7.5;;BALKANS NW: CROATIA: STON;East
1029;;1850;9;12;27.8;102.3;;;;CHINA: SICHUAN: XICHANG;West
1030;;1850;;;34.7;104.9;;7.5;20650;CHINA: GANSU PROVINCE: WUSBAN;East
1031;;1851;1;1;46.3;8;;0.5;;SWITZERLAND;East
1032;;1851;1;20;41.2;20.2;;;;ALBANIA;West
1033;;1851;2;2;10.4;-75.4;;;;COLOMBIA: CARTAGENA;South
1034;;1851;2;28;;;;;;TURKEY: FETHIYE;West
1035;Yes;1851;4;2;-33.32;-71.42;;;;CHILE: VALPARAISO;South
1036;Yes;1851;4;19;25.1;62.3;;7.1;;PAKISTAN: GAVADER;East
1037;;1851;5;15;37.8;-122.4;;;;CALIFORNIA: NORTHERN;East
1038;Yes;1851;5;16;16.2;-61.4;;;;GUADELOUPE: POINTE-A-PITRE;West
1039;;1851;5;26;-27.35;-70.35;;;;CHILE: COPIAPO;East
1040;Yes;1851;8;14;41;15.7;;7.2;;ITALY: MELFI, RAPOLLA, BARILE, RIONERO, MT VULTURE;North
1041;;1851;10;12;;;;;671;ALBANIA: VLORE (VALONA),BERAT;North
1042;Yes;1851;10;17;40.5;19.7;;6.6;2000;ALBANIA: BERAT;West
1043;;1851;11;13;40;-122;;;400;CALIFORNIA: NORTHERN;North
1044;Yes;1851;;;36.2;55;;;;IRAN: SHAHRUD;South
1045;;1852;1;9;;;;;;INDONESIA: JAVA: DJAKARTA;West
1046;Yes;1852;1;24;17;-96.3;150;6.5;;MEXICO: OAXACA;South
1047;;1852;1;24;27.7;68.8;;;;PAKISTAN: UPPER SINDH, FORT KAHAN, MURREE HILLS;South
1048;;1852;2;22;37.1;58.4;;;350;IRAN: KHABUSHAN (NW KUCHAN);East
1049;;1852;4;16;37.5;-25.3;10;5.8;2000;AZORES: SAO MIGUEL (SAN MIGUEL);South
1050;;1852;5;26;37.5;105.2;;;12;CHINA: NINGXIA;South
1051;;1852;7;17;20;-75.8;;0.6;300;CUBA: SANTIAGO DE CUBA;South
1052;Yes;1852;7;24;39.9;41.3;;;;TURKEY;South
1053;;1852;9;16;14;120.5;;7.3;17;PHILIPPINES: LUZON: BATAAN, RIZAL, PAMPANGA,MANILA;North
1054;Yes;1852;11;11;1.5;98;;7.5;3;INDONESIA: SUMATRA: SIBOLGA;East
1055;Yes;1852;11;19;-3.7;128.2;;6.8;;INDONESIA: AMBON ISLAND;North
1056;Yes;1852;11;25;;;;;;CALIFORNIA: NORTHERN;South
1057;Yes;1852;11;25;-5.25;129.75;;;;INDONESIA: MALUKU: BANDANAIRA;East
1058;Yes;1852;11;27;-12.1;-77.1;100;8.3;;PERU;South
1059;Yes;1852;11;29;32.5;-115.5;;;;N. MEXICO;West
1060;Yes;1852;12;4;17;-100;;0.7;;S. MEXICO;East
1061;Yes;1852;12;21;38.3;-28.4;;;1;AZORES: FAIAL;South
1062;;1852;12;24;-5;130.5;;;;INDONESIA: BANDANEIRA;East
1063;Yes;1852;12;24;13.8;121.1;;0.7;;PHILIPPINES: BATANGAS, N MINDANAO;East
1064;;1853;2;1;35.5;-121;;;;CALIFORNIA: SAN SIMEON;West
1065;;1853;3;11;35.5;139.5;;;;JAPAN: ODAWARA;North
1066;;1853;4;9;40.9;15.2;;;79;ITALY: CAPOSELE,CALABRITTO,LIONI;East
1067;;1853;4;22;29.6;52.5;;;12;IRAN: SHIRAZ;West
1068;;1853;5;18;40.8;15.2;;;13000;ITALY: S;South
1069;;1853;7;15;10.5;-64.2;;;;VENEZUELA: CUMANA;West
1070;Yes;1853;8;18;38.25;23.5;14;6.7;1000;GREECE: THEBES, BOEOTIA;West
1071;Yes;1853;10;3;26.2;127.6;;;17;JAPAN: OKINAWA;East
1072;Yes;1853;11;;47;154;;;;RUSSIA: KURIL ISLANDS;South
1073;Yes;1853;12;24;-21.167;-175.167;;;;TONGA TRENCH;West
1074;Yes;1853;;;14;123;;;;PHILIPPINES: CAMARINES, DAET;East
1075;;1854;1;2;24;-104.4;;;;MEXICO: DURANGO;East
1076;;1854;1;4;-3.5;128.6;;;;INDONESIA: BANDA SEA;West
1077;Yes;1854;1;13;19.8;-100.2;;0.6;;MEXICO: TLAPUJAHUA;North
1078;;1854;1;27;57;-152;;;;ALASKA: GULF OF ALASKA;North
1079;Yes;1854;2;12;39.3;16.3;;;;ITALY: CONNICI,COSENZA,PIETRAFITTA,PATERNO;East
1080;;1854;4;14;13.8;-89.2;;;468;EL SALVADOR: SAN SALVADOR;South
1081;;1854;5;5;17;-96.3;;;1000;MEXICO: VERACRUZ,OAXACA;East
1082;;1854;5;31;34.4;-119.7;;;;CALIFORNIA: SOUTHERN;East
1083;Yes;1854;6;16;44.3;11.8;;;;ITALY: N;North
1084;;1854;7;9;35;136;;;;JAPAN: IGA, ISE, YAMATO;West
1085;;1854;7;20;43;-0.1;;;1352;FRANCE: BAGNERES, GRIPP, LOURDES, ARGES;East
1086;;1854;7;30;39.5;20.5;;;;ALBANIA: DELVINE, SULI, GZIG;West
1087;;1854;8;4;8.5;-83;;;;COSTA RICA-PANAMA;East
1088;Yes;1854;8;7;8.5;-83;;7.2;;COSTA RICA-PANAMA;West
1089;Yes;1854;9;22;38.06;45.03;;7.2;;IRAN: TABRIZ, KHVOY (KHOI);West
1090;;1854;9;27;0.8;127.4;;4.5;;INDONESIA: MALUKU: TERNATE ISLAND;North
1091;Yes;1854;10;22;37.8;-122.4;;;;CALIFORNIA: NORTHERN;South
1092;Yes;1854;12;23;34;137.9;;;;JAPAN: ENSHUNADA SEA;East
1093;Yes;1854;12;24;33.1;135;;8.3;300;JAPAN: NANKAIDO;South
1094;Yes;1854;12;24;29.1;107.1;;8.4;;CHINA: SICHUAN PROVINCE;East
1095;;1854;12;29;43.8;7.9;;5.5;;FRANCE: CAGNES, BAR, ST PAUL, GRASSE, MENTON, NICE;South
1096;Yes;1855;1;23;-41.25;175;;;;NEW ZEALAND: WELLINGTON,WAIOURU,WANGANUI,OTAKI;East
1097;Yes;1855;2;1;17;-96.3;33;0.8;;MEXICO: GUERRERO,OAXACA;East
1098;;1855;2;11;-39.2;177.6;;;;NEW ZEALAND;West
1099;Yes;1855;2;28;40.2;29.1;25;5.5;;TURKEY: TAYABAS, BURSA;West
1100;;1855;3;8;17;-96.3;;6.7;1900;MEXICO: OAXACA;North
1101;;1855;3;20;40.75;-124.2;;;;CALIFORNIA: NORTHERN;East
1102;Yes;1855;3;22;16;121;;;;PHILIPPINES: S LUZON;West
1103;;1855;4;11;40.2;29.1;;;;TURKEY: BURSA;South
1104;;1855;4;29;40.2;29.1;;;400;TURKEY: BURSA;South
1105;;1855;7;3;42;19.5;;6.7;1300;ALBANIA: SHKODER, BUCHATI, ZADRIME, JUBANI, KOSMACI;West
1106;;1855;7;11;34.1;-118.1;;;;CALIFORNIA: LOS ANGELES;South
1107;Yes;1855;7;14;0.8;127.3;;0.6;;INDONESIA: MALUKU: TERNATE ISLAND;North
1108;;1855;7;25;46.3;7.9;;;34;SWITZERLAND: HAUT-VALAIS;South
1109;;1855;8;11;-33;-71.7;;;1;CHILE: VALPARAISO;South
1110;Yes;1855;8;22;37.1;5.7;;;;ALGERIA;West
1111;;1855;9;25;15.91;-85.96;;;;HONDURAS: TRUJILLO;South
1112;Yes;1855;10;22;37.8;-122.4;;;;CALIFORNIA: SAN FRANCISCO;West
1113;Yes;1855;11;7;34.5;137.6;;;;ENSHUNADA;West
1114;Yes;1855;11;11;35.65;139.8;;0.7;;JAPAN: TOKYO;West
1115;Yes;1855;12;3;32.5;134.5;;0.7;6757;JAPAN: NANKAIDO;North
1116;Yes;1855;12;11;39.1;121.6;;0.7;;CHINA: LIAONING PROVINCE;East
1117;;1855;12;12;43.8;6.4;;5.5;7;FRANCE: CHASTEUIL,TAULANNE,CASTELLANE,TALOIRE;North
1118;;1855;;;29.2;108.1;;;;CHINA: SICHUAN PROVINCE;East
1119;Yes;1856;1;12;37.1;-8;;4.8;;PORTUGAL: TAVIRA, ALGARVE;South
1120;;1856;2;2;17;-96.3;;;;MEXICO: OAXACA;East
1121;;1856;2;15;37.5;-122.3;;;;CALIFORNIA: NORTHERN;West
1122;Yes;1856;3;2;3.67;125.5;;5.5;;INDONESIA: SANGIHE PULAU (VOLCANIC);South
1123;Yes;1856;6;5;46.4;12.4;;;;ITALY: PIEVE SANTO STEFANO;East
1124;;1856;6;10;29.7;108.8;;;;CHINA: HUBEI PROVINCE;West
1125;;1856;7;25;-8.5;116;;5.5;300;INDONESIA: LOMBOK ISLAND;North
1126;Yes;1856;8;4;16;-88;;;;HONDURAS: COAST;South
1127;Yes;1856;8;21;37.1;5.7;;7.5;;ALGERIA: NORTHERN;North
1128;Yes;1856;8;22;37.1;5.7;;;;ALGERIA: NORTHERN;East
1129;Yes;1856;8;23;40.5;143.5;;;3;JAPAN: OSHIMA;North
1130;Yes;1856;10;12;;;;0.8;;GREECE: CRETE;South
1131;Yes;1856;11;13;38.25;26.25;100;;538;GREECE: CHIOS (E SPORADES);North
1132;Yes;1857;1;6;4.9;31.7;;6.6;;SUDAN: GONDOKORO, ILENGWE;South
1133;Yes;1857;1;9;35;-119;;;;CALIFORNIA: SAN FRANCISCO;South
1134;;1857;4;9;37.4;45.3;;8.3;;IRAN: LAKE URMIA (LAKE URMI);South
1135;;1857;4;9;38.4;42.1;;;;TURKEY: HINIS;North
1136;;1857;4;17;-5.5;147;;6.7;;PAPUA NEW GUINEA: BISMARCK SEA;South
1137;Yes;1857;5;13;-8;115.5;;0.8;;INDONESIA: TIMOR ISLAND:: DILHI, GERA;North
1138;Yes;1857;5;23;36.5;1.3;50;0.7;36;ALGERIA: SEA OF ALBORAN;South
1139;Yes;1857;7;13;34.8;138.3;;;;TOKAIDO, JAPAN;North
1140;Yes;1857;9;16;39.4;16.4;;6.4;;ITALY: CALABRIA,MONTEMURRO;North
1141;;1857;9;17;40.2;29;;;10000;TURKEY: BURSA;North
1142;Yes;1857;10;27;38.3;45.4;;;;IRAN: TASUJ,AZARBAIJAN;West
1143;;1857;11;17;1.35;125.2;;;;INDONESIA: SULAWESI ISLAND: KEMA;East
1144;Yes;1857;11;18;1.35;125.2;;;;INDONESIA: SULAWESI ISLAND: KEMA;South
1145;Yes;1857;12;16;40.3;16;;;;ITALY: CAMPANIA, POTENZA;West
1146;;1858;1;15;49.2;18.8;;6.5;10000;SLOVAKIA: ZILINA;North
1147;;1858;1;22;55;166;;;;RUSSIA: KOMANDORSKY ISLAND;East
1148;;1858;2;21;38;23;20;7.5;;GREECE: VIEILLE,KORINTHOS,HEXAMILIA;West
1149;;1858;4;9;36;137.5;;;19;JAPAN: HIDA: N;West
1150;;1858;4;23;36.571;137.59;;;203;SHINANO: TATE-YAMA VOLCANO;West
1151;;1858;4;24;-30;-71.4;;;;CHILE: LA SERENA;West
1152;Yes;1858;5;2;17;-96.3;;6.5;;MEXICO: OAXACA;North
1153;;1858;6;19;19.2;-99.1;;;;MEXICO: MEXICO CITY;East
1154;;1858;8;24;19;95;;;;MYANMAR (BURMA): THAYETMYO, PROME;East
1155;;1858;9;20;;;;;;ALBANIA: DELVINON, BERATI;North
1156;;1858;9;30;42.8;23.2;;;12;BULGARIA;South
1157;;1858;9;;26.2;127.5;;;;JAPAN: RYUKYU ISLANDS;North
1158;Yes;1858;10;10;40;20.1;;;;ALBANIA: VLORE, KANINA;North
1159;;1858;11;11;38.2;-9;;;;PORTUGAL: SETUBAL;North
1160;;1858;11;26;37.5;-122;;;6;CALIFORNIA: SAN JOSE,SAN FRANCISCO;North
1161;;1858;12;13;1;126;;;;INDONESIA: N. MOLUCCAS ISLANDS;North
1162;Yes;1859;3;22;-0.3;-78.5;;7.3;;ECUADOR: PICHINCHA;South
1163;;1859;4;12;43.4;11.3;;;;ITALY: CENTRAL;West
1164;;1859;6;2;39.9;41.3;;;;TURKEY: ERZURUM;East
1165;;1859;6;11;40.7;48.5;;6.1;15000;AZERBAIJAN: SHEMAKHA (SEMACHA);North
1166;;1859;6;28;1;126.5;10;5.9;100;INDONESIA: N. MOLUCCAS ISLANDS;East
1167;Yes;1859;7;20;-4.6;129.9;;0.7;;INDONESIA: LONTHOR ISLAND;West
1168;Yes;1859;7;29;0.009;125.5;;;;INDONESIA: SULAWESI;North
1169;Yes;1859;8;21;40.2;25.8;;7.3;;TURKEY;North
1170;;1859;8;22;42.8;13.1;;;;ITALY;East
1171;;1859;8;25;;;;;100;EL SALVADOR: LA UNION;East
1172;Yes;1859;9;24;37.6;-122.3;;6.2;;CALIFORNIA: HALF MOON BAY;West
1173;Yes;1859;9;25;-5.5;130.5;;;;INDONESIA: NEIRA I, LONTHOR I;North
1174;Yes;1859;10;5;-27.35;-70.35;;6.8;;CHILE;South
1175;Yes;1859;10;20;-9;111;;7.6;10;S. JAVA SEA;East
1176;Yes;1859;11;22;-40.85;145.32;;;;AUSTRALIA: TASMANIA: CIRCULAR HEAD;West
1177;Yes;1859;12;9;;;;;;EL SALVADOR;West
1178;Yes;1859;12;17;0.9;124.9;;0.7;;INDONESIA: SULAWESI: MANADO, BELANG;North
1179;Yes;1860;4;8;18.52;-73.35;;;;HAITI: ANSE-A-VEAU;West
1180;Yes;1860;4;10;40;20.1;;;;ALBANIA: GJIROKASTER;East
1181;;1860;4;23;-12.1;-77.1;;;;PERU: LIMA, CALLAO;West
1182;Yes;1860;8;;1.3;121;;;;INDONESIA: SULAWESI: MINAHASSA;West
1183;Yes;1860;10;6;-1.25;128.5;;;;INDONESIA: HALMAHERA ISLAND;South
1184;Yes;1861;2;16;-1;97.5;;;;INDONESIA: LAGUNDI, SIMUK, TELLO I;West
1185;Yes;1861;3;9;0.009;98;70;8.5;;INDONESIA: SW. SUMATRA;East
1186;Yes;1861;3;20;-32.8;-68.8;20;0.7;;ARGENTINA: MENDOZA, SAN LUIZ;East
1187;Yes;1861;4;13;-13.8;-73.4;;;14000;PERU;South
1188;;1861;4;26;1;97.5;20;;;INDONESIA: SW. SUMATRA;East
1189;Yes;1861;4;27;18.5;-77.9;70;0.7;;JAMAICA: KINGSTON;West
1190;;1861;5;7;13.74;41.55;;;;ETHIOPIA: DUBBI;South
1191;;1861;5;9;46;12;;;;ITALY: CITTA DELLA PIEVE;East
1192;;1861;6;17;1;97.5;;;1;INDONESIA: SW. SUMATRA;South
1193;Yes;1861;7;4;37.5;-122;;6.8;;CALIFORNIA: CONTRA COSTA,ALAMEDA COUNTIES;East
1194;;1861;7;19;39.1;121.7;;;;CHINA: LIAONING PROVINCE;West
1195;;1861;9;25;-1.5;100;;0.6;2;INDONESIA: SW. SUMATRA;North
